ID,ENG,FIL,polarity
3707,rantingly,rantingly,negative
3708,rapport,kaugnayan,positive
3709,rapt,nagayuma,positive
3710,rapture,masidhing kagalakan,positive
3711,raptureous,raptureous,positive
3712,raptureously,raptureously,positive
3713,rapturous,nagayuma,positive
3714,rapturously,rapturously,positive
3715,rascal,masamang tao,negative
3716,rash,pantal,negative
3717,rather,sa lalong maliwanag,neutral
3718,rational,may talino,positive
3719,rationalize,isakatwiran,negative
3720,rattle,gumaralgal,negative
3721,ravage,pamiminsala,negative
3722,rave,magmagaling,positive
3723,raves,raves,positive
3724,raved,raved,positive
3725,raving,galit na galit,negative
3726,re-conquest,muling pananakop,positive
3727,reactionary,reaksyonaryo,negative
3728,realist,parang tunay,positive
3729,realistic,parang totoo,positive
3730,realistically,realistically,positive
3731,really,talaga,neutral
3732,reassurance,muling pagtiyak,positive
3733,reassure,muling magbigay-tiwala,positive
3734,rebellious,suwail,negative
3735,rebuff,pagtataboy,negative
3736,rebuke,pagsalitaan,negative
3737,rebukes,pinagsasabiha,negative
3738,rebuked,pinagsabihan,negative
3739,recalcitrant,ayaw sumunod,negative
3740,recant,pagsisihan,negative
3741,receptive,receptive,positive
3742,reckless,walang ingat,negative
3743,recklessly,aksaya,negative
3744,recklessness,kawalang-taros,negative
3745,recoil,biglang urong,negative
3746,recommend,magrekomenda,positive
3747,recommendation,rekomendasyon,positive
3748,recommendations,rekomendasyon,positive
3749,recommended,inirerekumendang,positive
3750,rectification,pagtutuwid,positive
3751,rectify,magtuwid,positive
3752,rectifying,rectifying,positive
3753,redeem,tubusin,positive
3754,redeeming,sa pagkuha ng,positive
3755,redemption,pagtubos,positive
3756,reflecting,na sumasalamin sa,neutral
3757,reflective,mapanimdim,neutral
3758,refreshing,malamig,positive
3759,refuge,magkubli,positive
3760,refuse,tumanggi,negative
3761,refutation,pagpapabulaan,negative
3762,refute,pasinungalingan,negative
3763,regal,ukol sa hari,positive
3764,regally,nang parang hari,positive
3765,regard,pagtatangi,positive
3766,regardless,hindi alintana,neutral
3767,regardlessly,regardlessly,neutral
3768,regret,panghihinayang,negative
3769,regrets,nanghinayang,negative
3770,regretful,nagsisisi,negative
3771,regretfully,regretfully,negative
3772,regrettable,kahina-hinayang,negative
3773,regrettably,regrettably,negative
3774,reject,tanggihan,negative
3775,rejects,tinatanggihan,negative
3776,rejected,tinanggihan,negative
3777,rejection,pagtanggi,negative
3778,rejoice,magalak,positive
3779,rejoicing,pagkakatuwa,positive
3780,rejoicingly,nang masaya,positive
3781,relent,maglubag ang loob,positive
3782,relentless,walang awa,negative
3783,relentlessly,relentlessly,negative
3784,relentlessness,relentlessness,negative
3785,relief,kaluwagan,positive
3786,relish,pampasarap,positive
3787,reluctance,pag-aatubili,negative
3788,remarkable,kapansin-pansin,positive
3789,remarkably,lubha,positive
3790,reminiscent,nakapagpapagunita,positive
3791,remorse,mataos na pagsisisi,negative
3792,remorseful,nagsisisi nang taos,negative
3793,remorsefully,remorsefully,negative
3794,remorseless,walang pagsisisi,negative
3795,remorselessly,remorselessly,negative
3796,remorselessness,remorselessness,negative
3797,remunerate,bigyan ng gantimpala,positive
3798,renaissance,muling pagsilang,positive
3799,renounce,itakwil,negative
3800,renown,kabunyian,positive
3801,renowned,may matunog na pangalan,positive
3802,renunciation,pagtatakwil,negative
3803,repay,pagbayaran,positive
3804,repent,magsisi,positive
3805,repentance,pagsisisi,positive
3806,reprehensible,maaaring sisihin,negative
3807,reprehensibly,reprehensibly,negative
3808,reprehension,paninisi,negative
3809,reprehensive,reprehensive,negative
3810,reprimand,mahigpit na pangangaral,negative
3811,reproach,pagsisi,negative
3812,reproachful,dapat sisihin,negative
3813,reprove,pagwikaan,negative
3814,reprovingly,reprovingly,negative
3815,repudiate,magtatwa,negative
3816,repudiation,pagtatakwil,negative
3817,repugn,repugn,negative
3818,repugnance,rimarim,negative
3819,repugnant,nakamumuhi,negative
3820,repugnantly,repugnantly,negative
3821,repulsing,repulsing,negative
3822,repulsive,kagalit-galit,negative
3823,repulsively,repulsively,negative
3824,repulsiveness,repulsiveness,negative
3825,resent,ipagdamdam,negative
3826,resentful,nagdaramdam,negative
3827,resentment,sama ng loob,negative
3828,resounding,resounding,positive
3829,resourceful,mapamaraan,positive
3830,resourcefulness,kapamaraanan,positive
3831,respect,paggalang,positive
3832,respectable,kagalang-galang,positive
3833,respectful,magalang,positive
3834,respectfully,nang gumagalang,positive
3835,respite,kaunting ginhawa,positive
3836,resplendent,maluningning,positive
3837,reticent,walang imik,negative
3838,revealing,pagbubunyag,neutral
3839,revel,masayang pagdiriwang,positive
3840,revelatory,revelatory,neutral
3841,revenge,hangarin sa paghihiganti,negative
3842,revengeful,ibig maghiganti,negative
3843,revengefully,revengefully,negative
3844,revere,gumalang,positive
3845,reverence,paggalang,positive
3846,reverent,magalang,positive
3847,reverently,magalang,positive
3848,revile,mang-alimura,negative
3849,reviled,reviled,negative
3850,revolting,nakaiinis,negative
3851,revoltingly,revoltingly,negative
3852,revulsion,biglang pagbabago,negative
3853,revulsive,gamot na umaabala,negative
3854,reward,gantimpala,positive
3855,rewarding,rewarding,positive
3856,rewardingly,rewardingly,positive
3857,rhetorical,patalumpati,negative
3858,richly,marangya,positive
3859,richness,kayamanan,positive
3860,rid,mapupuksa,negative
3861,ridicule,panlilibak,negative
3862,ridiculous,walang katotohanan,negative
3863,ridiculously,ridiculously,negative
3864,rife,katakut-takot,negative
3865,rift,pumunit,negative
3866,rifts,rifts,negative
3867,right,karapatan,positive
3868,righten,righten,positive
3869,righteous,may katwiran,positive
3870,righteously,righteously,positive
3871,righteousness,pagkamakatwiran,positive
3872,rightful,ayon sa batas,positive
3873,rightfully,may karapatang,positive
3874,rightly,nang makatarungan,positive
3875,rightness,katarungan,positive
3876,rile,mang-abala,negative
3877,riled,riled,negative
3878,roadblocks,roadblocks,negative
3879,rogue,taong tampalasan,negative
3880,rollercoaster,rollercoaster,negative
3881,romantic,romantiko,positive
3882,romantically,romantically,positive
3883,romanticize,romanticize,positive
3884,rosy,parang rosas,positive
3885,rotten,mabaho,negative
3886,rousing,rousing,positive
3887,rubbish,basura,negative
3888,rude,walang galang,negative
3889,rude,bastos,negative
3890,rue,pagsisihan,negative
3891,ruffian,taong malupit,negative
3892,rumbling,rumbling,negative
3893,rumor,sabi-sabi,negative
3894,rumors,alingawngaw,negative
3895,rumours,alingawngaw,negative
3896,rumple,tupi,negative
3897,run-down,sira-sira,negative
3898,runaway,walang preno,negative
3899,rusty,kalawangin,negative
3900,ruthless,walang awa,negative
3901,ruthlessly,ruthlessly,negative
3902,ruthlessness,kawalang-habag,negative
3903,sabotage,pamiminsala,negative
3904,sacred,banal,positive
3905,sacrifice,pag-aalay,negative
3906,sad,malungkot,negative
3907,sadden,makalungkot,negative
3908,sadly,sadly,negative
3909,sadness,lungkot,negative
3910,safeguard,pangalagaan,positive
3911,sagacity,katalasan ng isip,positive
3912,sage,mukhang matalino,positive
3913,sagely,sagely,positive
3914,saint,santo,positive
3915,saintliness,kabanalan,positive
3916,saintly,parang santo,positive
3917,salacious,mahalay,negative
3918,salutary,kasiya-siya,positive
3919,salute,pugay,positive
3920,salvation,kaligtasan,positive
3921,sanctimonious,nagbabanal-banalan,negative
3922,sanctify,gawing sagrado,positive
3923,sanction,kapahintulutan,positive
3924,sanctity,dakilang kabanalan,positive
3925,sanctuary,banal na lugar,positive
3926,sanguine,may pag-asa,positive
3927,sane,may maliwanag na isip,positive
3928,sanity,kaliwanagan ng isip,positive
3929,sap,katas,negative
3930,sarcasm,uyam,negative
3931,sarcastic,nang-uuyam,negative
3932,sarcastically,sarcastically,negative
3933,sardonic,may malisiya,negative
3934,sardonically,sardonically,negative
3935,sass,sass,negative
3936,satirical,satirical,negative
3937,satirize,mang-uyam,negative
3938,satisfaction,kasiyahan,positive
3939,satisfactorily,satisfactorily,positive
3940,satisfactory,kasiya-siya,positive
3941,savage,malupit na tao,negative
3942,savaged,savaged,negative
3943,savagely,savagely,negative
3944,savagery,kalagayang hindi sibilisado,negative
3945,savages,savages,negative
3946,savvy,katalinuhan,positive
3947,scandalize,mag-iskandalo,negative
3948,scandalized,scandalized,negative
3949,scandalous,nagbibigay ng iskandalo,negative
3950,scandalously,scandalously,negative
3951,scandals,Iskandalo,negative
3952,scapegoat,kasangkapanin,negative
3953,scar,magkapeklat,negative
3954,scarred,scarred,negative
3955,scarcely,tiyak na hindi,negative
3956,scare,gulatin,negative
3957,scared,natakot,negative
3958,scarier,scarier,negative
3959,scariest,scariest,negative
3960,scarily,scarily,negative
3961,scars,scars,negative
3962,scary,katakot-takot,negative
3963,scathing,nakasusugat,negative
3964,scathingly,scathingly,negative
3965,scheming,scheming,negative
3966,scoff,mang-aglahi,negative
3967,scoffingly,scoffingly,negative
3968,scold,palaaway na babae,negative
3969,scolding,pagbulyaw,negative
3970,scoldingly,scoldingly,negative
3971,scorching,scorching,negative
3972,scorchingly,scorchingly,negative
3973,scorn,uyam,negative
3974,scornful,naiinis,negative
3975,scornfully,naiinis,negative
3976,scoundrel,taong tampalasan,negative
3977,scourge,pahirapan,negative
3978,scowl,magkunot ng noo,negative
3979,scream,mapahiyaw,negative
3980,screaming,magaralgal,neutral
3981,screamingly,screamingly,neutral
3982,screech,matinis na sigaw,negative
3983,scruples,scruples,positive
3984,scrupulous,mag-igi,positive
3985,scrupulously,scrupulously,positive
3986,scrutinize,magsiyasat na mabuti,neutral
3987,scrutiny,masusing pagsisiyasat,neutral
3988,scum,mga hamak na tao,negative
3989,scummy,may iskoma,negative
3990,seamless,walang pinagtahian,positive
3991,second-class,pangalawang klase,negative
3992,seductive,nakatutukso,positive
3993,seedy,mabuto,negative
3994,seemingly,para baga,neutral
3995,seethe,ilaga,negative
3996,seething,seething,negative
3997,self-coup,self-kapalaran,negative
3998,self-criticism,pagpula sa sarili,negative
3999,self-destructive,self-mapanira,negative
4000,self-determination,pagsasarili,positive
4001,self-humiliation,paghiya sa sarili,negative
4002,self-interest,pagkamakasarili,negative
4003,self-interested,makasarili,negative
4004,self-respect,paggalang sa sarili,positive
4005,self-satisfaction,pagkasiya sa sarili,positive
4006,self-serving,self-serving,negative
4007,selfinterested,selfinterested,negative
4008,selfish,makasarili,negative
4009,selfishly,selfishly,negative
4010,selfishness,pagkamakasarili,negative
4011,senile,gawa ng katandaan,negative
4012,sensation,pang-amoy,positive
4013,sensational,nakagulat,positive
4014,sensationalize,sensationalize,negative
4015,sensationally,sensationally,positive
4016,sensations,sensations,positive
4017,senseless,walang ulirat,negative
4018,senselessly,senselessly,negative
4019,sensible,may katwiran,positive
4020,sensibly,sa matinong paraan,positive
4021,sensitively,sensitively,positive
4022,sensitivity,pagkamapagdamdam,positive
4023,sentiment,damdamin,positive
4024,sentimentality,hayagang pagdaramdam,positive
4025,sentimentally,sentimentally,positive
4026,sentiments,sentiments,positive
4027,serene,mabini,positive
4028,serenity,kagandahan ng panahon,positive
4029,serious,malubha,neutral
4030,seriously,mataimtim,negative
4031,seriousness,kabigatan,negative
4032,sermonize,mangaral,negative
4033,servitude,mahirap na trabaho,negative
4034,set-up,itinayo,negative
4035,severe,malala,negative
4036,severely,nang mahigpit,negative
4037,severity,kalubhaan,negative
4038,sexy,malibog,positive
4039,shabby,gamit na gamit na,negative
4040,shadow,anino,negative
4041,shady,malilim,negative
4042,sham,paimbabaw,negative
4043,shambles,katayan ng hayop,negative
4044,shame,kahihiyan,negative
4045,shames,hinihiya,negative
4046,shamed,hiniya,negative
4047,shameful,kahalay-halay,negative
4048,shamefully,shamefully,negative
4049,shamefulness,dumal,negative
4050,shameless,makapal ang mukha,negative
4051,shamelessly,shamelessly,negative
4052,shamelessness,shamelessness,negative
4053,shark,pating,negative
4054,shatter,makabasag,negative
4055,shatters,binabasag,negative
4056,shattered,binasag,negative
4057,sheer,manipis na manipis,negative
4058,shimmer,kuminang,positive
4059,shimmering,shimmering,positive
4060,shimmeringly,shimmeringly,positive
4061,shiny,makintab,positive
4062,shirk,pabayang tao,negative
4063,shirker,shirker,negative
4064,shiver,manginig sa ginaw,negative
4065,shock,pagkabigla,negative
4066,shocks,binigla,negative
4067,shocking,kagulat-gulat,negative
4068,shockingly,shockingly,negative
4069,shoddy,mababang uri,negative
4070,shortchange,pagkakamali,negative
4071,shortcoming,pagkapabaya,negative
4072,shortcomings,pagkukulang,negative
4073,shortsighted,mahina ang paningin sa malayo,negative
4074,shortsightedness,shortsightedness,negative
4075,shrew,palaaway na babae,negative
4076,shrewd,may matalas na isip,positive
4077,shrewdly,shrewdly,positive
4078,shrewdness,kotalasan,positive
4079,shriek,mapatili,negative
4080,shrill,nakatutulig,negative
4081,shrilly,shrilly,negative
4082,shrivel,matigang,negative
4083,shroud,damit na pamburol,negative
4084,shrouded,shrouded,negative
4085,shun,umilag,negative
4086,shunned,shunned,negative
4087,shy,mahihiyain,negative
4088,shyly,shyly,negative
4089,shyness,pagkamahihiyain,negative
4090,sickly,mahina ang katawan,negative
4091,sickening,nakakasuka,negative
4092,sickeningly,sickeningly,negative
4093,sidetrack,panghaliling daan,negative
4094,sidetracked,sidetracked,negative
4095,sillily,sillily,negative
4096,silly,ulol,negative
4097,simmer,sumulak,negative
4098,simplicity,kababaang-loob,positive
4099,simplistic,simplistic,negative
4100,simplistically,simplistically,negative
4101,sin,kasalanan,negative
4102,sins,maysala,negative
4103,sinned,nagkasala,negative
4104,sinful,makasalanan,negative
4105,sinfully,sinfully,negative
4106,sincere,taos-puso,positive
4107,sincerely,nang matapat,positive
4108,sinister,malas,negative
4109,sinisterly,sinisterly,negative
4110,skeletons,skeletons,negative
4111,skeptical,may pag-aalinlangan,negative
4112,skeptically,skeptically,negative
4113,skepticism,pag-aalinlangan,negative
4114,skillful,magalang,positive
4115,skillfully,skillfully,positive
4116,skittish,magugulatin,negative
4117,skittishly,skittishly,negative
4118,skulk,magtago,negative
4119,slander,siraan ng puri,negative
4120,slanders,sinisiraan,negative
4121,slanderred,siniraan,negative
4122,slanderer,slanderer,negative
4123,slanderous,naninira,negative
4124,slanderously,slanderously,negative
4125,slanders,slanders,negative
4126,slap,sampal,negative
4127,slaps,slaps,negative
4128,slapped,sinampal,negative
4129,slap,sasampalin,negative
4130,slashing,paglaslas,negative
4131,slaves,alipin,negative
4132,sleazy,manipis,negative
4133,slime,putik na malapot,negative
4134,sloppy,nanggigitata,negative
4135,sloppily,sloppily,negative
4136,sloth,bagal,negative
4137,slothful,magtamad,negative
4138,slur,mang-insulto,negative
4139,slut,malandi,negative
4140,sly,patago,negative
4141,smack,matunog na hampas,negative
4142,smart,matalino,positive
4143,smarter,mas matalino,positive
4144,smartest,smartest,positive
4145,smartly,nang buong talino,positive
4146,smile,ngiti,positive
4147,smiles,ngumingiti,positive
4148,smiled,ngumiti,positive
4149,smiling,nakangiting,positive
4150,smilingly,nakangiti,positive
4151,smitten,may malubhang sakit,positive
4152,smokescreen,panabing na usok,negative
4153,smolder,magbaga,negative
4154,smoldering,nagbabaga,negative
4155,smother,hindi makahinga,negative
4156,smoulder,magbaga,negative
4157,smouldering,nagbabaga,negative
4158,smug,mayabang,negative
4159,smugly,smugly,negative
4160,smut,magbahid,negative
4161,smuttier,smuttier,negative
4162,smuttiest,smuttiest,negative
4163,smutty,mahalay,negative
4164,sneer,pag-irap,negative
4165,sneering,mapanukso,negative
4166,sneeringly,sneeringly,negative
4167,snub,pagmamalaki,negative
4168,snub,mayabang,negative
4169,snubs,snubs,negative
4170,snubbed,snubbed,negative
4171,so-called,tinatawag,negative
4172,sob,hibik,negative
4173,sober,hindi lasing,negative
4174,sobering,paghinahon,negative
4175,sociable,mahilig sa pakikipagkapwa,positive
4176,soften,palambutin,positive
4177,solace,mag-aliw,positive
4178,solicitous,mapag-alaala,positive
4179,solicitously,solicitously,positive
4180,solicitude,pagkamaalalahanin,positive
4181,solidarity,pagkakaisa,positive
4182,soliloquize,kausapin ang sarili,neutral
4183,somber,malamlam,negative
4184,soothe,paginhawahin,positive
4185,soothingly,soothingly,positive
4186,sophisticated,marunong na,positive
4187,sore,sugat ng damdamin,negative
4188,sorely,malupit,negative
4189,sorrow,lungkot,negative
4190,sorrowful,nalulungkot,negative
4191,sorrowfully,sorrowfully,negative
4192,sorry,pinagsisisihan,negative
4193,spade,maghukay ng pala,negative
4194,spank,paluin sa puwit,negative
4195,sparkle,mamilansik,positive
4196,spectacular,kagila-gilalas,positive
4197,spectacularly,spectacularly,positive
4198,spellbind,engkantuhin,positive
4199,spellbinding,spellbinding,positive
4200,spellbindingly,spellbindingly,positive
4201,spellbound,nahahalina,positive
4202,spilling,ligwak,negative
4203,spiritless,mahina ang loob,negative
4204,spiritual,espirituwal,positive
4205,spite,pang-iinis,negative
4206,spiteful,mapang-inis,negative
4207,spitefully,spitefully,negative
4208,spitefulness,spitefulness,negative
4209,splayed-finger,splayed daliri,neutral
4210,splendid,napakainam,positive
4211,splendidly,splendidly,positive
4212,splendor,rangya,positive
4213,spoil,palayawin,negative
4214,spook,multo,negative
4215,spookier,spookier,negative
4216,spookiest,spookiest,negative
4217,spookily,spookily,negative
4218,spooky,tulad ng multo,negative
4219,spoon-fed,gap ng pagkain sa kutsara,negative
4220,spoon-feed,pakanin,negative
4221,spoonfed,spoonfed,negative
4222,spotless,walang dumi,positive
4223,sprightly,masigla,positive
4224,spur,sa utos ng pagkakataon,positive
4225,spurious,hindi totoo,negative
4226,spurn,sipain,negative
4227,sputter,utal na pagsasalita,negative
4228,squabble,magtalo,negative
4229,squabbling,squabbling,negative
4230,squander,mag-aksaya ng salapi,negative
4231,squarely,squarely,positive
4232,squash,squash,negative
4233,squirm,pamamaluktot,negative
4234,staggering,pagsuray,negative
4235,staggeringly,staggeringly,negative
4236,stagnate,tumimik,negative
4237,stagnation,pagwawalang-kilos,negative
4238,staid,walang kibo,negative
4239,stale,wala nang lasa,negative
4240,stalemate,walang magagawa,negative
4241,stammer,magsalita nang pautal-utal,negative
4242,standstill,pagkatigil,negative
4243,star,bituin,positive
4244,stark,naninigas,negative
4245,starkly,starkly,negative
4246,stars,bituin,positive
4247,startle,gumulantang,negative
4248,startling,kagulat-gulat,negative
4249,startlingly,startlingly,negative
4250,stately,marangal,positive
4251,statuesque,malaistawa,positive
4252,staunch,pigilin ang pag-agos ng dugo,positive
4253,staunchly,staunchly,positive
4254,staunchness,staunchness,positive
4255,steadfast,walang bago,positive
4256,steadfastly,steadfastly,positive
4257,steadfastness,steadfastness,positive
4258,stellar,sa bituin,positive
4259,stellarly,stellarly,positive
4260,stench,masamang amoy,negative
4261,stereotype,klitse,negative
4262,stereotypical,stereotypical,negative
4263,stereotypically,stereotypically,negative
4264,stern,mabagsik,negative
4265,stew,pag-aalaala,negative
4266,stifle,hindi makahinga,negative
4267,stifling,mainis,negative
4268,stiflingly,stiflingly,negative
4269,stigma,patak ng dumi,negative
4270,stigmatize,stigmatize,negative
4271,stimulating,stimulating,positive
4272,sting,sumakit ang damdamin,negative
4273,stinging,nakatutuya,negative
4274,stingingly,stingingly,negative
4275,stink,mamaho,negative
4276,stinking,mabaho,negative
4277,stir,paghalo,neutral
4278,stirring,makapukaw-damdamin,positive
4279,stirringly,stirringly,positive
4280,stodgy,sandat,negative
4281,stooge,sangkalan,negative
4282,stooges,stooges,negative
4283,straightforward,tapat,positive
4284,strange,kakaiba,negative
4285,strangely,kakaiba,negative
4286,stranger,taong hindi kilala,negative
4287,strangest,strangest,negative
4288,stress,magbigay-diin,negative
4289,stressful,nakababahalang,negative
4290,stressfully,stressfully,negative
4291,stricken,may mga sugat,negative
4292,strict,mahigpit,negative
4293,strictly,istrikto,negative
4294,stride,lumakad nang mahahaba ang hakbang,positive
4295,strident,palirit,negative
4296,stridently,stridently,negative
4297,strife,sagupaan,negative
4298,striking,kapansin-pansin,positive
4299,strikingly,strikingly,positive
4300,striving,nagsusumikap,positive
4301,struggle,labanan,negative
4302,strut,lakad na mag-ilas,negative
4303,stubborn,matigas ang kalooban,negative
4304,stubborn,makulit,negative
4305,stubborn,matigas ang ulo,negative
4306,stubbornly,stubbornly,negative
4307,stubbornness,katigasan ng ulo,negative
4308,studious,masipag mag-aral,positive
4309,studiously,studiously,positive
4310,stuffy,walang hangin,negative
4311,stunned,masindak,positive
4312,stunning,napakaganda,positive
4313,stunningly,stunningly,positive
4314,stupendous,kamangha-mangha,positive
4315,stupendously,stupendously,positive
4316,stupid,nakababagod,negative
4317,stupid,bobo,negative
4318,stupidity,kahangalan,negative
4319,stupidly,stupidly,negative
4320,stupified,stupified,negative
4321,stupify,stupify,negative
4322,stupor,kawalang-malay,negative
4323,sty,kulungan ng baboy,negative
4324,stylish,makabago,positive
4325,stylishly,istilo,positive
4326,suave,pinong kumilos,positive
4327,subjugate,lupigin,negative
4328,subjugation,pagkalupig,negative
4329,sublime,malayog,positive
4330,subservience,paninipsip,negative
4331,subservient,masunuring parang alipin,negative
4332,succumb,sumakabilang-buhay,negative
4333,sucker,pasusuhin,negative
4334,sufferer,sufferer,negative
4335,sufferers,sufferers,negative
4336,suffering,nagtitiis,negative
4337,suffocate,habulin ang hininga,negative
4338,sugar-coat,takpin ng asukal,negative
4339,sugar-coated,asukal-pinahiran,negative
4340,sugarcoated,sugarcoated,negative
4341,sulk,pagmamaktol,negative
4342,sullen,masama ang loob,negative
4343,sully,magmantsa,negative
4344,sumptuous,masagana,positive
4345,sumptuously,sumptuously,positive
4346,sumptuousness,sumptuousness,positive
4347,sunder,papaghiwalayin,negative
4348,super,magara,positive
4349,superb,napakahusay,positive
4350,superbly,superbly,positive
4351,superficial,mababaw,negative
4352,superficiality,superficiality,negative
4353,superficially,sa mababaw,negative
4354,superfluous,hindi kailangan,negative
4355,superiority,kataasan ng uri,negative
4356,superlative,higit sa lahat,positive
4357,superstition,pamahiin,negative
4358,superstitious,mapamuhiin,negative
4359,support,tulong,positive
4360,supporter,tagataguyod,positive
4361,supportive,supportive,positive
4362,suppose,ipagpalagay,neutral
4363,supposing,kung kaya,neutral
4364,supremacy,kataas-taasang kapangyarihan,negative
4365,supreme,kataas-taasan,positive
4366,supremely,supremely,positive
4367,supurb,supurb,positive
4368,supurbly,supurbly,positive
4369,sure,sigurado,positive
4370,surely,walang alinlangan,positive
4371,surge,paggulong ng alon,positive
4372,surging,surging,positive
4373,surmise,sapantaha,positive
4374,surmount,mapagtagumpayan,positive
4375,surpass,malampasan,positive
4376,surprise,sorpresa,neutral
4377,surprising,kagulat-gulat,neutral
4378,surprisingly,kahanga-hanga,neutral
4379,suspicions,duda,negative
4380,suspicious,kahina-hinala,negative
4381,suspicious,kaduda-duda,negative
4382,suspiciously,sa paghihinala,negative
4383,swagger,magyabang,negative
4384,swamped,swamped,negative
4385,swear,manumpa,negative
4386,sweeping,nakamamanghang,positive
4387,sweet,sweet,positive
4388,sweeten,pinaganda,positive
4389,swindle,panananso,negative
4390,swipe,humampas,negative
4391,swore,swore,negative
4392,sworn,sinumpaang,positive
4393,sympathetic,nagkakasundo,negative
4394,sympathetically,sympathetically,negative
4395,sympathies,sympathies,negative
4396,sympathize,sang-ayunan,negative
4397,sympathy,simpatiya,negative
4398,taboo,bawal,negative
4399,tact,kahusayang makitungo,positive
4400,taint,makabulok,negative
4401,tainted,nabubuluk,negative
4402,talent,mga taong may talento,positive
4403,talented,may ulo,positive
4404,tantalizing,mapanukso,positive
4405,tantalizingly,tantalizingly,positive
4406,tantamount,gaya na rin,neutral
4407,tantrum,pag-aalboroto,negative
4408,tattered,gula-gulanit,negative
4409,taunt,mang-uyam,negative
4410,taunting,taunting,negative
4411,tauntingly,tauntingly,negative
4412,taunts,taunts,negative
4413,tawdry,masagwa,negative
4414,teasingly,teasingly,negative
4415,tedious,nakakainip,negative
4416,tediously,tediously,negative
4417,temerity,lakas ng loob,negative
4418,temper,init ng ulo,negative
4419,tempt,mang-udyok,positive
4420,temptation,tukso,negative
4421,tempting,mapang-akit,positive
4422,temptingly,temptingly,positive
4423,tenacious,magaling ang memorya,positive
4424,tenaciously,tenaciously,positive
4425,tenacity,tenasidad,positive
4426,terrible,kahila-hilakbot,negative
4427,terribleness,terribleness,negative
4428,terribly,katakut-takot,negative
4429,terrific,nakakikilabot,positive
4430,terrifically,terrifically,positive
4431,terrified,terrified,positive
4432,terrify,matakot nang lubha,positive
4433,terrifying,sumisindak,positive
4434,terrifyingly,terrifyingly,positive
4435,terror,malaking takot,negative
4436,terror-genic,malaking takot-genic,negative
4437,terrorize,manlupig,negative
4438,thank,pasasalamat,positive
4439,thankful,nagpapasalamat,positive
4440,thankfully,thankfully,positive
4441,thankless,walang utang na loob,negative
4442,theoretize,theoretize,neutral
4443,therefore,samakatwid,neutral
4444,think,mag-isip,neutral
4445,thinkable,maiisip,positive
4446,thinking,pagninilay-nilay,neutral
4447,thirst,uhaw,negative
4448,thorny,matinik,negative
4449,though,bagaman,neutral
4450,thoughtful,nag-isip,positive
4451,thoughtfully,thoughtfully,positive
4452,thoughtfulness,pagkamaalalahanin,positive
4453,thoughtless,hindi mapag-alaala,negative
4454,thoughtlessly,thoughtlessly,negative
4455,thoughtlessness,katangaan,negative
4456,thrill,pangingilig sa tuwa,positive
4457,thrilling,nakapangmgilabot,positive
4458,thrillingly,thrillingly,positive
4459,thrills,nakapagpapakilig,positive
4460,throttle,sumakal,negative
4461,thus,kaya,neutral
4462,thusly,thusly,neutral
4463,thwart,hadlangan,negative
4464,tidy,malaki na rin,positive
4465,time-honored,nakasindi ng panahon,positive
4466,timid,mahiyain,negative
4467,timidity,pagkamahihiyain,negative
4468,timidly,timidly,negative
4469,timidness,timidness,negative
4470,tingle,pangingilig,positive
4471,tint,tint,neutral
4472,tired,pagod,negative
4473,tiresome,nakawawala ng gana,negative
4474,tiring,nakapapagod,negative
4475,tiringly,tiringly,negative
4476,titillating,titillating,positive
4477,titillatingly,titillatingly,positive
4478,toast,mag-ihaw,positive
4479,togetherness,togetherness,positive
4480,toil,mabigat na trabaho,negative
4481,tolerable,matitiis,positive
4482,tolerably,katamtaman,positive
4483,tolerance,pagpaparaya,positive
4484,tolerantly,tolerantly,positive
4485,torment,papaghirapin na mabuti,negative
4486,tormented,tormented,negative
4487,torrent,malakas na agos,negative
4488,torrid,mainit na mainit,positive
4489,torridly,torridly,positive
4490,tortuous,pasikut-sikot,negative
4491,torturous,torturous,negative
4492,torturously,torturously,negative
4493,touches,touch,neutral
4494,touchy,masyadong maramdamin,negative
4495,toughness,kayamutan,negative
4496,traduce,siraan ng puri,negative
4497,tragic,trahedya,negative
4498,tragically,tragically,negative
4499,traitor,taksil,negative
4500,traitorous,taksil,negative
4501,traitorously,traitorously,negative
4502,tramp,lumakad nang papadyak,negative
4503,trample,pagtapak,negative
4504,tranquil,tahimik,positive
4505,tranquility,katahimikan,positive
4506,trauma,trauma,negative
4507,traumatic,traumatiko,negative
4508,traumatically,traumatically,negative
4509,traumatize,magpalesyon,negative
4510,traumatized,traumatized,negative
4511,travesties,travesties,negative
4512,travesty,paglapastangan,negative
4513,treachery,pagsusukab,negative
4514,treason,pagtataksil,negative
4515,treasonous,pantaksil,negative
4516,treasure,kayamanan,positive
4517,tremendous,pagkalaki-laki,positive
4518,tremendously,tremendously,positive
4519,trendy,lumilihis,positive
4520,trepidation,pangangatal,positive
4521,tribute,pagpaparangal,positive
4522,trick,bilis ng kamay,negative
4523,tricky,mapaglalang,negative
4524,trickery,panlalansi,negative
4525,triumph,pagtatagumpay,positive
4526,triumphal,matangloy,positive
4527,triumphant,nagagalak dahil sa tagumpay,positive
4528,triumphantly,triumphantly,positive
4529,trivial,walang kuwenta,negative
4530,trivialize,trivialize,negative
4531,trivially,trivially,negative
4532,trouble,gulo,negative
4533,troublemaker,basag-ulero,negative
